state,type,date,staff
W.P. Kuala Lumpur,nurse_community,2015-01-01,724
W.P. Kuala Lumpur,nurse_community,2016-01-01,721
W.P. Kuala Lumpur,nurse_community,2017-01-01,612
W.P. Kuala Lumpur,nurse_community,2018-01-01,843
W.P. Kuala Lumpur,nurse_community,2019-01-01,737
W.P. Kuala Lumpur,nurse_community,2020-01-01,607
W.P. Kuala Lumpur,nurse_community,2021-01-01,534
W.P. Kuala Lumpur,nurse_community,2022-01-01,586
W.P. Labuan,all,2014-01-01,381
W.P. Labuan,all,2015-01-01,409
W.P. Labuan,all,2016-01-01,414
W.P. Labuan,all,2017-01-01,434
W.P. Labuan,all,2018-01-01,475
W.P. Labuan,all,2019-01-01,497
W.P. Labuan,all,2020-01-01,463
W.P. Labuan,all,2021-01-01,521
W.P. Labuan,all,2022-01-01,601
W.P. Labuan,dentist,2014-01-01,6
W.P. Labuan,dentist,2015-01-01,10
W.P. Labuan,dentist,2016-01-01,17
W.P. Labuan,dentist,2017-01-01,22
W.P. Labuan,dentist,2018-01-01,23
W.P. Labuan,dentist,2019-01-01,35
W.P. Labuan,dentist,2020-01-01,29
W.P. Labuan,dentist,2021-01-01,31
W.P. Labuan,dentist,2022-01-01,30
W.P. Labuan,doctor,2014-01-01,53
